idx,ticker,date,sentimento,sentimento_num,t0,ar_t0,ar_t1,car
5130,ABEV3,2024-10-31,NEUTRO,0,2024-10-31,-0.019171400162871326,-0.0018810628868525118,-0.021052463049723837
5131,ABEV3,2024-10-23,NEUTRO,0,2024-10-23,-0.0037239715399796187,0.002086440058257098,-0.0016375314817225206
5132,ABEV3,2024-10-31,NEUTRO,0,2024-10-31,-0.019171400162871326,-0.0018810628868525118,-0.021052463049723837
5133,ABEV3,2024-10-23,NEGATIVO,-1,2024-10-23,-0.0037239715399796187,0.002086440058257098,-0.0016375314817225206
5134,ABEV3,2024-10-22,NEUTRO,0,2024-10-22,0.00172662151539825,-0.0036334305066907362,-0.0019068089912924863
5135,ABEV3,2024-10-23,NEUTRO,0,2024-10-23,-0.0037239715399796187,0.002086440058257098,-0.0016375314817225206
5136,ABEV3,2024-10-07,NEUTRO,0,2024-10-07,-0.0097809951979144,-0.005264220281586353,-0.015045215479500754
5137,ABEV3,2024-10-31,NEUTRO,0,2024-10-31,-0.019171400162871326,-0.0018810628868525118,-0.021052463049723837
5138,ABEV3,2024-10-10,NEUTRO,0,2024-10-10,0.0002484592580771234,-0.016425968573161937,-0.016177509315084812
5139,ABEV3,2024-10-24,NEUTRO,0,2024-10-24,0.002476048855694272,-0.005656701978205073,-0.0031806531225108004
5140,ABEV3,2024-10-22,NEUTRO,0,2024-10-22,0.00172662151539825,-0.0036334305066907362,-0.0019068089912924863
5141,ABEV3,2024-10-12,NEUTRO,0,2024-10-14,-0.001515045519955638,-0.0034996046422271264,-0.0050146501621827645
5142,ABEV3,2024-10-25,NEUTRO,0,2024-10-25,-0.005929715810592164,0.00457265724422577,-0.0013570585663663943
5143,ABEV3,2024-11-04,NEUTRO,0,2024-11-04,-0.0005061921841828416,-9.175658331937232e-05,-0.000597948767502214
5144,ABEV3,2024-11-19,NEUTRO,0,2024-11-19,-0.0022969242898518605,0.0016486163728744408,-0.0006483079169774197
2790,ITUB4,2024-06-07,POSITIVO,1,2024-06-07,0.002432455647745791,-0.008611458970815764,-0.0061790033230699724
